Date,Time,ME_Demand,ME_Temp,NH_Demand,NH_Temp,VT_Demand,VT_Temp,CT_Demand,CT_Temp,RI_Demand,RI_Temp,SEMA_Demand,SEMA_Temp,WCMA_Demand,WCMA_Temp,NEMA_Demand,NEMA_Temp
01-Jan-17,01:00:00,1110.97,34,1106.31,33,590.72,35,2842.29,37,752.17,42,1367.86,42,1609.99,33,2421.05,40
01-Jan-17,02:00:00,1064.01,34,1045.25,34,558.44,35,2706.95,37,716.89,40,1291.36,40,1549.94,32,2335.07,39
01-Jan-17,03:00:00,1025.41,35,1002.24,34,534.71,35,2601.69,36,692,39,1239.78,39,1502.46,32,2263.48,38
01-Jan-17,04:00:00,1020.88,34,984.45,34,524.39,35,2535.49,36,677.66,38,1217.39,38,1470.35,32,2216.97,37
01-Jan-17,05:00:00,1034.4,35,986.39,33,524.29,35,2524.59,36,673.28,37,1214.5,37,1463.58,32,2205.8,37
01-Jan-17,06:00:00,1052.38,35,1009.54,32,537.53,35,2565.82,36,680.18,37,1236.56,37,1486.21,32,2231.06,37
01-Jan-17,07:00:00,1089.93,34,1054.72,33,561.63,35,2654.91,34,703.51,36,1283.61,36,1536.21,32,2291.31,37
01-Jan-17,08:00:00,1152.03,34,1108.63,32,598.29,38,2721.65,33,718.2,36,1326.17,36,1574.02,32,2330.84,36
01-Jan-17,09:00:00,1229.47,34,1189.52,30,632.67,37,2830.2,35,751.49,34,1375.69,34,1624.93,32,2379.4,38
01-Jan-17,10:00:00,1280.88,35,1254.09,36,649.72,36,2942.02,37,784.16,40,1396.93,40,1667.7,32,2430.16,40
01-Jan-17,11:00:00,1308.2,37,1291.49,34,633.82,36,2998.68,40,811.95,43,1424.91,43,1690.9,34,2485.06,42
01-Jan-17,12:00:00,1315.36,39,1298.38,38,613.76,35,3016.65,42,827.94,44,1437.87,44,1707.14,35,2508.07,42
01-Jan-17,13:00:00,1311.75,40,1301.27,41,592.19,36,3020.57,44,839.95,45,1458.45,45,1714.03,36,2530.73,42
01-Jan-17,14:00:00,1295.21,41,1283.74,41,602.6,37,3017.69,43,833.57,44,1461.84,44,1705.66,37,2537.07,43
01-Jan-17,15:00:00,1287.62,41,1274.37,41,635.11,36,3024.91,43,823.34,46,1492.99,46,1722.13,36,2555.79,44
01-Jan-17,16:00:00,1308.14,41,1291.86,41,667.72,36,3092.75,43,829.77,44,1544.52,44,1769.98,36,2606.24,43
01-Jan-17,17:00:00,1423.74,39,1419.06,39,725.08,35,3357.74,41,904.71,42,1719.87,42,1929.69,35,2791.73,42
01-Jan-17,18:00:00,1518.59,37,1533.46,37,775.91,34,3688.85,38,978.1,40,1866.04,40,2079.44,32,2951.34,40
01-Jan-17,19:00:00,1486.47,35,1517.23,33,763.72,33,3698.89,33,977.13,38,1864.53,38,2069.04,31,2960.37,41
01-Jan-17,20:00:00,1431.33,34,1469.06,27,739.46,31,3633.89,31,960.17,37,1821.07,37,2029.27,29,2921.58,38
01-Jan-17,21:00:00,1352.08,28,1411.38,26,714.44,29,3552.43,34,932.68,36,1772.28,36,1977.45,29,2860.99,37
01-Jan-17,22:00:00,1265.31,31,1330.05,23,685.67,27,3416.56,30,892.81,32,1681.62,32,1896.39,30,2773.6,37
01-Jan-17,23:00:00,1180.97,29,1235.48,21,642.98,27,3214.26,27,842.3,30,1562.61,30,1786.86,30,2625.94,35
01-Jan-17,00:00:00,1122.53,26,1147.96,19,597.94,23,3000.93,28,780.23,27,1446.59,27,1676.83,29,2475.14,35
02-Jan-17,01:00:00,1068.42,23,1089.12,18,566.4,24,2834.5,25,738.49,29,1357.61,29,1605.16,26,2360.95,33
02-Jan-17,02:00:00,1059.65,24,1058.51,17,550.03,23,2730.16,24,711.21,27,1307.23,27,1553.95,25,2284.2,33
02-Jan-17,03:00:00,1052.8,22,1047.05,14,540.77,22,2682.07,24,697.8,26,1286.95,26,1532.63,22,2253.65,32
02-Jan-17,04:00:00,1063.92,19,1051.72,14,542.96,22,2684.45,24,695.89,27,1290.22,27,1536.4,27,2261.37,30
02-Jan-17,05:00:00,1086.19,21,1079.72,12,552.91,22,2741.09,22,712.41,26,1319.44,26,1565.22,25,2305.23,29
02-Jan-17,06:00:00,1151.16,20,1141.84,13,580.52,22,2867.43,22,732.75,24,1381.58,24,1636.59,26,2409.07,31
02-Jan-17,07:00:00,1240.97,18,1233.8,11,622.92,20,3042.9,23,773.18,27,1464.96,27,1735.66,19,2551.95,31
02-Jan-17,08:00:00,1324.9,18,1315.22,10,668.48,21,3185.86,25,798.76,24,1525.64,24,1816.3,19,2644.33,29
02-Jan-17,09:00:00,1387.08,20,1397.3,11,683.16,20,3367.8,25,846.24,28,1592.78,28,1899.12,20,2748.08,30
